,AppId,Title,Date,Reviews,FullDescription,FullDescriptionWordFreq
0,com.onetwoapps.mh,My Budget Book,2016-09-04,15604,"My Budget Book helps you to keep track of your expenses and income, and helps you manage your money more effectively.Use the individual transactions and recurring transactions feature to get an idea of your expenses over the next couple of months and see how much money you have available to spend. The app also gives you a graphical overview of the information, making it easier to plan (larger) purchases over the upcoming months.The budget mode allows you to set various goals and for certain periods of time. For example, you can use the feature to create a monthly limit for refueling or a weekly limit for food. You can also define limits for accounts such as credit cards or other types of payment. Furthermore, the app can help you determine whether recurring budgets should be transferred to the next period.Main features:• Offline availability. For security reasons, the app has no internet permission.• No advertising and no hidden in-app costs.• Configurable Material Design layout.• Switch between the different views current balance and monthly balance.• Visualize the statistics as a table or graph and see how you have spent your money.• Manage multiple accounts and make transfers between them.• Add further categories and subcategories to analyze your cost curve.• Manage additional lists of payment types, groups or persons.• Group the statistics and charts by categories, accounts and if activated in the settings by groups, persons or payment types.• Add photos or receipts to your transactions.• Use reminders to help you make pending payments on time.• Set the beginning of the month based on your regular salary (e.g. the 1st or the 15th).• Reconcile your expenses with your bank statement.• Create templates to make the input of your transactions even easier.• Filter and sort your transactions according to various criteria and time periods.• Protect your sensitive data with a password.• Import existing data or bank statements using the CSV import (NB: imports of other formats can be made available on request).• Export your data as HTML, Excel or CSV file in order to view or print them on your PC.• Create backups so you never lose your data (including automatic backups).• 4 Widgets.My Budget Book is easy to use and is continuously being developed. The app is available in 11 languages and includes an integrated manual, which will help you find and use all features within the app.For security reasons, there is no internet permission. To use the app on multiple devices or to add automatic backups in the cloud, please read the chapter Synchronization in the integrated manual.If you have any questions or suggestions, just send a mail via the integrated support function.","[(transactions, 4), (data, 4), (help, 3), (add, 3), (budget, 3), (integrated, 3), (available, 3), (.•, 3), (manage, 3), (accounts, 3)]"
1,com.onetwoapps.mh,My Budget Book,2016-09-05,15605,"My Budget Book helps you to keep track of your expenses and income, and helps you manage your money more effectively.Use the individual transactions and recurring transactions feature to get an idea of your expenses over the next couple of months and see how much money you have available to spend. The app also gives you a graphical overview of the information, making it easier to plan (larger) purchases over the upcoming months.The budget mode allows you to set various goals and for certain periods of time. For example, you can use the feature to create a monthly limit for refueling or a weekly limit for food. You can also define limits for accounts such as credit cards or other types of payment. Furthermore, the app can help you determine whether recurring budgets should be transferred to the next period.Main features:• Offline availability. For security reasons, the app has no internet permission.• No advertising and no hidden in-app costs.• Configurable Material Design layout.• Switch between the different views current balance and monthly balance.• Visualize the statistics as a table or graph and see how you have spent your money.• Manage multiple accounts and make transfers between them.• Add further categories and subcategories to analyze your cost curve.• Manage additional lists of payment types, groups or persons.• Group the statistics and charts by categories, accounts and if activated in the settings by groups, persons or payment types.• Add photos or receipts to your transactions.• Use reminders to help you make pending payments on time.• Set the beginning of the month based on your regular salary (e.g. the 1st or the 15th).• Reconcile your expenses with your bank statement.• Create templates to make the input of your transactions even easier.• Filter and sort your transactions according to various criteria and time periods.• Protect your sensitive data with a password.• Import existing data or bank statements using the CSV import (NB: imports of other formats can be made available on request).• Export your data as HTML, Excel or CSV file in order to view or print them on your PC.• Create backups so you never lose your data (including automatic backups).• 4 Widgets.My Budget Book is easy to use and is continuously being developed. The app is available in 11 languages and includes an integrated manual, which will help you find and use all features within the app.For security reasons, there is no internet permission. To use the app on multiple devices or to add automatic backups in the cloud, please read the chapter Synchronization in the integrated manual.If you have any questions or suggestions, just send a mail via the integrated support function.","[(transactions, 4), (data, 4), (help, 3), (add, 3), (budget, 3), (integrated, 3), (available, 3), (.•, 3), (manage, 3), (accounts, 3)]"
2,com.onetwoapps.mh,My Budget Book,2016-09-06,15610,"My Budget Book helps you to keep track of your expenses and income, and helps you manage your money more effectively.Use the individual transactions and recurring transactions feature to get an idea of your expenses over the next couple of months and see how much money you have available to spend. The app also gives you a graphical overview of the information, making it easier to plan (larger) purchases over the upcoming months.The budget mode allows you to set various goals and for certain periods of time. For example, you can use the feature to create a monthly limit for refueling or a weekly limit for food. You can also define limits for accounts such as credit cards or other types of payment. Furthermore, the app can help you determine whether recurring budgets should be transferred to the next period.Main features:• Offline availability. For security reasons, the app has no internet permission.• No advertising and no hidden in-app costs.• Configurable Material Design layout.• Switch between the different views current balance and monthly balance.• Visualize the statistics as a table or graph and see how you have spent your money.• Manage multiple accounts and make transfers between them.• Add further categories and subcategories to analyze your cost curve.• Manage additional lists of payment types, groups or persons.• Group the statistics and charts by categories, accounts and if activated in the settings by groups, persons or payment types.• Add photos or receipts to your transactions.• Use reminders to help you make pending payments on time.• Set the beginning of the month based on your regular salary (e.g. the 1st or the 15th).• Reconcile your expenses with your bank statement.• Create templates to make the input of your transactions even easier.• Filter and sort your transactions according to various criteria and time periods.• Protect your sensitive data with a password.• Import existing data or bank statements using the CSV import (NB: imports of other formats can be made available on request).• Export your data as HTML, Excel or CSV file in order to view or print them on your PC.• Create backups so you never lose your data (including automatic backups).• 4 Widgets.My Budget Book is easy to use and is continuously being developed. The app is available in 11 languages and includes an integrated manual, which will help you find and use all features within the app.For security reasons, there is no internet permission. To use the app on multiple devices or to add automatic backups in the cloud, please read the chapter Synchronization in the integrated manual.If you have any questions or suggestions, just send a mail via the integrated support function.","[(transactions, 4), (data, 4), (help, 3), (add, 3), (budget, 3), (integrated, 3), (available, 3), (.•, 3), (manage, 3), (accounts, 3)]"
3,com.onetwoapps.mh,My Budget Book,2016-09-07,15618,"My Budget Book helps you to keep track of your expenses and income, and helps you manage your money more effectively.Use the individual transactions and recurring transactions feature to get an idea of your expenses over the next couple of months and see how much money you have available to spend. The app also gives you a graphical overview of the information, making it easier to plan (larger) purchases over the upcoming months.The budget mode allows you to set various goals and for certain periods of time. For example, you can use the feature to create a monthly limit for refueling or a weekly limit for food. You can also define limits for accounts such as credit cards or other types of payment. Furthermore, the app can help you determine whether recurring budgets should be transferred to the next period.Main features:• Offline availability. For security reasons, the app has no internet permission.• No advertising and no hidden in-app costs.• Configurable Material Design layout.• Switch between the different views current balance and monthly balance.• Visualize the statistics as a table or graph and see how you have spent your money.• Manage multiple accounts and make transfers between them.• Add further categories and subcategories to analyze your cost curve.• Manage additional lists of payment types, groups or persons.• Group the statistics and charts by categories, accounts and if activated in the settings by groups, persons or payment types.• Add photos or receipts to your transactions.• Use reminders to help you make pending payments on time.• Set the beginning of the month based on your regular salary (e.g. the 1st or the 15th).• Reconcile your expenses with your bank statement.• Create templates to make the input of your transactions even easier.• Filter and sort your transactions according to various criteria and time periods.• Protect your sensitive data with a password.• Import existing data or bank statements using the CSV import (NB: imports of other formats can be made available on request).• Export your data as HTML, Excel or CSV file in order to view or print them on your PC.• Create backups so you never lose your data (including automatic backups).• 4 Widgets.My Budget Book is easy to use and is continuously being developed. The app is available in 11 languages and includes an integrated manual, which will help you find and use all features within the app.For security reasons, there is no internet permission. To use the app on multiple devices or to add automatic backups in the cloud, please read the chapter Synchronization in the integrated manual.If you have any questions or suggestions, just send a mail via the integrated support function.","[(transactions, 4), (data, 4), (help, 3), (add, 3), (budget, 3), (integrated, 3), (available, 3), (.•, 3), (manage, 3), (accounts, 3)]"
4,com.onetwoapps.mh,My Budget Book,2016-09-08,15623,"My Budget Book helps you to keep track of your expenses and income, and helps you manage your money more effectively.Use the individual transactions and recurring transactions feature to get an idea of your expenses over the next couple of months and see how much money you have available to spend. The app also gives you a graphical overview of the information, making it easier to plan (larger) purchases over the upcoming months.The budget mode allows you to set various goals and for certain periods of time. For example, you can use the feature to create a monthly limit for refueling or a weekly limit for food. You can also define limits for accounts such as credit cards or other types of payment. Furthermore, the app can help you determine whether recurring budgets should be transferred to the next period.Main features:• Offline availability. For security reasons, the app has no internet permission.• No advertising and no hidden in-app costs.• Configurable Material Design layout.• Switch between the different views current balance and monthly balance.• Visualize the statistics as a table or graph and see how you have spent your money.• Manage multiple accounts and make transfers between them.• Add further categories and subcategories to analyze your cost curve.• Manage additional lists of payment types, groups or persons.• Group the statistics and charts by categories, accounts and if activated in the settings by groups, persons or payment types.• Add photos or receipts to your transactions.• Use reminders to help you make pending payments on time.• Set the beginning of the month based on your regular salary (e.g. the 1st or the 15th).• Reconcile your expenses with your bank statement.• Create templates to make the input of your transactions even easier.• Filter and sort your transactions according to various criteria and time periods.• Protect your sensitive data with a password.• Import existing data or bank statements using the CSV import (NB: imports of other formats can be made available on request).• Export your data as HTML, Excel or CSV file in order to view or print them on your PC.• Create backups so you never lose your data (including automatic backups).• 4 Widgets.My Budget Book is easy to use and is continuously being developed. The app is available in 11 languages and includes an integrated manual, which will help you find and use all features within the app.For security reasons, there is no internet permission. To use the app on multiple devices or to add automatic backups in the cloud, please read the chapter Synchronization in the integrated manual.If you have any questions or suggestions, just send a mail via the integrated support function.","[(transactions, 4), (data, 4), (help, 3), (add, 3), (budget, 3), (integrated, 3), (available, 3), (.•, 3), (manage, 3), (accounts, 3)]"
5,air.com.tornscreen.cfgame01,CASHFLOW - The Investing Game,2016-09-04,2160,"Craft your financial strategy to get out of the Rat Race using real estate, business, the stock market and master CASHFLOW – The Investing Game! Based on the original board game by Robert Kiyosaki proclaimed as “Monopoly® on Steroids” by USA Today, hone your financial strategy and claw your way out of the Rat Race to build your CASHFLOW Empire and claim dominion over the realm (realm being your living room)!Begin CASHFLOW in the Rat Race working in a variety of professions while you implement your investment strategy to become the next business or real estate mogul. Avoid the pitfalls of bad deals, friends asking for handouts, lawsuits, and getting laid off from your job. Fine-tune your investment strategies now. Your ability to impress the world with your financial prowess will be coming soon. Multiplayer functionality will be enabled with the next update.","[(financial, 3), (strategy, 3), (cashflow, 3), (rat, 3), (race, 3), (estate, 2), (next, 2), (investment, 2), (real, 2), (business, 2)]"
6,air.com.tornscreen.cfgame01,CASHFLOW - The Investing Game,2016-09-05,2160,"Craft your financial strategy to get out of the Rat Race using real estate, business, the stock market and master CASHFLOW – The Investing Game! Based on the original board game by Robert Kiyosaki proclaimed as “Monopoly® on Steroids” by USA Today, hone your financial strategy and claw your way out of the Rat Race to build your CASHFLOW Empire and claim dominion over the realm (realm being your living room)!Begin CASHFLOW in the Rat Race working in a variety of professions while you implement your investment strategy to become the next business or real estate mogul. Avoid the pitfalls of bad deals, friends asking for handouts, lawsuits, and getting laid off from your job. Fine-tune your investment strategies now. Your ability to impress the world with your financial prowess will be coming soon. Multiplayer functionality will be enabled with the next update.","[(financial, 3), (strategy, 3), (cashflow, 3), (rat, 3), (race, 3), (estate, 2), (next, 2), (investment, 2), (real, 2), (business, 2)]"
7,air.com.tornscreen.cfgame01,CASHFLOW - The Investing Game,2016-09-06,2164,"Craft your financial strategy to get out of the Rat Race using real estate, business, the stock market and master CASHFLOW – The Investing Game! Based on the original board game by Robert Kiyosaki proclaimed as “Monopoly® on Steroids” by USA Today, hone your financial strategy and claw your way out of the Rat Race to build your CASHFLOW Empire and claim dominion over the realm (realm being your living room)!Begin CASHFLOW in the Rat Race working in a variety of professions while you implement your investment strategy to become the next business or real estate mogul. Avoid the pitfalls of bad deals, friends asking for handouts, lawsuits, and getting laid off from your job. Fine-tune your investment strategies now. Your ability to impress the world with your financial prowess will be coming soon. Multiplayer functionality will be enabled with the next update.","[(financial, 3), (strategy, 3), (cashflow, 3), (rat, 3), (race, 3), (estate, 2), (next, 2), (investment, 2), (real, 2), (business, 2)]"
8,air.com.tornscreen.cfgame01,CASHFLOW - The Investing Game,2016-09-07,2167,"Craft your financial strategy to get out of the Rat Race using real estate, business, the stock market and master CASHFLOW – The Investing Game! Based on the original board game by Robert Kiyosaki proclaimed as “Monopoly® on Steroids” by USA Today, hone your financial strategy and claw your way out of the Rat Race to build your CASHFLOW Empire and claim dominion over the realm (realm being your living room)!Begin CASHFLOW in the Rat Race working in a variety of professions while you implement your investment strategy to become the next business or real estate mogul. Avoid the pitfalls of bad deals, friends asking for handouts, lawsuits, and getting laid off from your job. Fine-tune your investment strategies now. Your ability to impress the world with your financial prowess will be coming soon. Multiplayer functionality will be enabled with the next update.","[(financial, 3), (strategy, 3), (cashflow, 3), (rat, 3), (race, 3), (estate, 2), (next, 2), (investment, 2), (real, 2), (business, 2)]"
9,air.com.tornscreen.cfgame01,CASHFLOW - The Investing Game,2016-09-08,2170,"Craft your financial strategy to get out of the Rat Race using real estate, business, the stock market and master CASHFLOW – The Investing Game! Based on the original board game by Robert Kiyosaki proclaimed as “Monopoly® on Steroids” by USA Today, hone your financial strategy and claw your way out of the Rat Race to build your CASHFLOW Empire and claim dominion over the realm (realm being your living room)!Begin CASHFLOW in the Rat Race working in a variety of professions while you implement your investment strategy to become the next business or real estate mogul. Avoid the pitfalls of bad deals, friends asking for handouts, lawsuits, and getting laid off from your job. Fine-tune your investment strategies now. Your ability to impress the world with your financial prowess will be coming soon. Multiplayer functionality will be enabled with the next update.","[(financial, 3), (strategy, 3), (cashflow, 3), (rat, 3), (race, 3), (estate, 2), (next, 2), (investment, 2), (real, 2), (business, 2)]"
